table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Portbou - coll dels Belitres,35.5,
0,Resum dades: temperatura màxima avui,Espolla,35.0,
0,Resum dades: temperatura màxima avui,Cabanes,33.9,
0,Resum dades: temperatura màxima avui,Font-rubí,33.0,
0,Resum dades: temperatura màxima avui,Pantà de Darnius - Boadella,32.9,
0,Resum dades: temperatura màxima avui,Mas de Barberans,32.2,
0,Resum dades: temperatura màxima avui,Barcelona - Observatori Fabra,31.9,
0,Resum dades: temperatura màxima avui,Dosrius - PN Montnegre Corredor,31.3,
0,Resum dades: temperatura màxima avui,PN del Garraf - el Rascler,31.2,
0,Resum dades: temperatura màxima avui,Ulldecona - els Valentins,31.2,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,8.9,
1,Resum dades: temperatura mínima avui,Guixers - Valls,11.8,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,11.8,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,12.2,
1,Resum dades: temperatura mínima avui,el Pont de Suert,12.5,
1,Resum dades: temperatura mínima avui,Prades,13.2,
1,Resum dades: temperatura mínima avui,Puigcerdà,13.3,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,13.8,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),14.2,
1,Resum dades: temperatura mínima avui,Sort,14.4,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,NO,66.6
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,NO,36.4
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,34.2
2,Resum dades: velocitat i direcció del vent avui,Molló - Fabert,N,32.4
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,O,29.5
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),N,28.8
2,Resum dades: velocitat i direcció del vent avui,Montsec d'Ares (1.571 m),NE,28.1
2,Resum dades: velocitat i direcció del vent avui,Vallirana,O,27.0
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,SO,27.0
2,Resum dades: velocitat i direcció del vent avui,Cabrils,N,26.6
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
3,Resum dades: precipitació avui,Molló - Fabert,0.0,
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.0,
3,Resum dades: precipitació avui,Organyà,0.0,
