table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Cabanes,32.3,
0,Resum dades: temperatura màxima avui,Espolla,30.5,
0,Resum dades: temperatura màxima avui,Torroella de Fluvià,30.5,
0,Resum dades: temperatura màxima avui,Pantà de Darnius - Boadella,30.4,
0,Resum dades: temperatura màxima avui,Miami Platja,30.2,
0,Resum dades: temperatura màxima avui,Castelló d'Empúries,30.1,
0,Resum dades: temperatura màxima avui,Sant Pere Pescador,30.0,
0,Resum dades: temperatura màxima avui,Torroella de Montgrí,29.9,
0,Resum dades: temperatura màxima avui,la Bisbal d'Empordà,29.8,
0,Resum dades: temperatura màxima avui,l'Aldea,29.8,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,11.2,
1,Resum dades: temperatura mínima avui,Guixers - Valls,11.9,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),12.5,
1,Resum dades: temperatura mínima avui,el Pont de Suert,13.7,
1,Resum dades: temperatura mínima avui,Prades,13.9,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,14.9,
1,Resum dades: temperatura mínima avui,Tírvia,15.0,
1,Resum dades: temperatura mínima avui,Sort,15.3,
1,Resum dades: temperatura mínima avui,Puigcerdà,15.4,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,15.7,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,73.1
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),SO,56.9
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,NE,52.2
2,Resum dades: velocitat i direcció del vent avui,Roses,N,46.4
2,Resum dades: velocitat i direcció del vent avui,el Perelló,N,42.1
2,Resum dades: velocitat i direcció del vent avui,Navata,N,36.7
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,NE,36.0
2,Resum dades: velocitat i direcció del vent avui,Montsec d'Ares (1.571 m),O,35.3
2,Resum dades: velocitat i direcció del vent avui,PN dels Ports,O,29.2
2,Resum dades: velocitat i direcció del vent avui,Riudecanyes,N,29.2
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
3,Resum dades: precipitació avui,Molló - Fabert,0.0,
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.0,
3,Resum dades: precipitació avui,Organyà,0.0,
